-1.00,-2.00,-46.00,80.00,47.00,   9.70,-1.62,-3.03,   -14.24,0.00,-0.31
0.00,-2.00,-46.00,82.00,24.00,   9.81,-1.62,-2.67,   -14.60,2.87,-2.21
-1.00,-2.00,-46.00,81.00,69.00,   9.78,-1.60,-2.76,   -13.88,1.42,-0.26
0.00,-1.00,-46.00,81.00,58.00,   9.84,-1.58,-2.69,   -13.53,2.61,-0.73
0.00,-1.00,-46.00,83.00,74.00,   10.07,0.00,-2.76,   43.03,-25.31,-29.47
7.00,0.00,-46.00,91.00,34.00,   8.23,-5.89,-0.65,   -41.99,19.43,62.17
10.00,1.00,-46.00,88.00,90.00,   8.66,-5.57,-1.41,   -14.82,-1.83,-0.15
15.00,4.00,-46.00,100.00,96.00,   8.92,-5.24,-1.40,   -15.09,-0.44,-2.99
4.00,-3.00,-46.00,84.00,67.00,   8.97,-4.86,-1.32,   -14.37,-1.12,-1.36
6.00,0.00,-46.00,89.00,40.00,   9.09,-4.72,-1.32,   -12.86,0.69,-1.80
5.00,-1.00,-46.00,85.00,65.00,   9.08,-4.84,-1.16,   -13.64,0.72,-0.52
4.00,-1.00,-46.00,85.00,90.00,   9.02,-4.66,-1.35,   -15.55,-1.76,-0.63
9.00,3.00,-46.00,97.00,78.00,   9.09,-4.72,-1.23,   -13.11,1.73,-3.53
8.00,3.00,-46.00,92.00,62.00,   9.13,-4.69,-1.20,   -13.78,1.62,-0.26
8.00,1.00,-46.00,88.00,60.00,   9.14,-4.66,-1.16,   -14.33,0.20,0.00
---------------------------------------------------------
25.00,8.00,-46.00,80.00,63.00,   8.65,-3.73,-3.94,   -13.50,4.15,-1.30
25.00,7.00,-46.00,78.00,65.00,   8.83,-3.79,-3.56,   -14.19,0.24,1.15
26.00,3.00,-46.00,76.00,60.00,   8.17,-4.63,-3.02,   15.26,37.67,13.90
24.00,0.00,-46.00,83.00,65.00,   11.46,-2.72,-0.97,   -34.70,-14.39,20.47
31.00,5.00,-46.00,93.00,68.00,   8.68,-4.09,-2.60,   -22.94,-7.65,-8.80
29.00,4.00,-46.00,87.00,86.00,   8.38,-5.80,-1.68,   -15.57,1.24,1.59
30.00,7.00,-46.00,87.00,74.00,   8.66,-5.26,-1.58,   -10.19,2.09,-5.13
31.00,6.00,-46.00,87.00,45.00,   8.92,-4.89,-1.42,   -12.04,1.21,-2.00
28.00,2.00,-46.00,92.00,100.00,   7.38,-6.83,-2.33,   -8.02,-1.94,-3.59
35.00,1.00,-46.00,90.00,83.00,   8.28,-5.98,-1.86,   -8.87,1.97,-4.14
31.00,0.00,-46.00,86.00,69.00,   8.17,-5.65,-2.20,   -17.37,-0.78,-1.88
33.00,2.00,-46.00,87.00,51.00,   8.27,-5.79,-1.82,   -13.56,-0.31,-0.03
33.00,3.00,-46.00,88.00,93.00,   8.41,-5.68,-1.49,   -12.94,1.85,-1.66
32.00,3.00,-46.00,87.00,66.00,   8.44,-5.70,-1.58,   -14.11,0.14,-0.55
33.00,2.00,-46.00,84.00,50.00,   8.50,-5.63,-1.62,   -13.82,0.21,0.09
34.00,3.00,-46.00,87.00,71.00,   8.64,-5.39,-1.64,   -15.05,0.96,-0.44
---------------------------------------------------------
45.00,1.00,-46.00,89.00,64.00,   8.56,-4.47,-3.33,   -19.57,3.56,9.46
45.00,0.00,-46.00,90.00,40.00,   8.36,-2.68,-4.87,   79.78,-25.63,-138.70
34.00,-2.00,-46.00,85.00,88.00,   8.11,3.53,-4.28,   36.69,40.01,-60.32
39.00,-5.00,-46.00,75.00,57.00,   6.07,7.19,-3.50,   -22.27,4.96,-4.87
36.00,-2.00,-46.00,73.00,31.00,   6.63,7.08,-2.93,   -13.47,0.17,-0.82
36.00,-3.00,-46.00,77.00,85.00,   6.96,6.34,-1.66,   -27.01,20.99,33.38
18.00,-1.00,-46.00,87.00,70.00,   8.02,6.06,-1.15,   -14.28,4.03,1.05
5.00,-1.00,-46.00,84.00,50.00,   7.92,6.12,-1.46,   -16.04,2.17,-0.95
3.00,-2.00,-46.00,89.00,54.00,   7.89,6.48,-1.03,   -15.31,0.21,-1.18
3.00,-1.00,-46.00,84.00,71.00,   7.93,6.32,-1.37,   -12.40,-1.08,1.27
3.00,-1.00,-46.00,84.00,50.00,   7.88,6.34,-1.19,   -13.35,-0.79,-0.05
2.00,-1.00,-46.00,81.00,33.00,   7.77,6.40,-1.07,   -13.96,3.27,0.99
2.00,-1.00,-46.00,82.00,98.00,   7.80,6.50,-0.96,   -14.39,1.27,-0.20
