ا,79.00,82.00,86.00,80.00,62.00,   6.18,-0.22,-7.81,   -11.50,3.51,4.15
ا,78.00,83.00,85.00,78.00,107.00,   6.24,-1.11,-7.90,   -13.67,-1.19,1.97
ا,78.00,82.00,88.00,78.00,85.00,   6.11,-1.41,-7.99,   -13.78,-0.53,-1.21
ا,78.00,82.00,85.00,78.00,84.00,   6.09,-1.21,-7.89,   -13.73,1.27,0.52
ا,77.00,82.00,82.00,77.00,59.00,   6.06,-1.32,-7.90,   -17.14,-0.17,-1.77
ا,78.00,79.00,84.00,78.00,83.00,   6.56,-0.59,-7.36,   -12.14,-0.63,2.78
ا,75.00,81.00,83.00,78.00,92.00,   7.59,-0.79,-7.18,   -13.70,7.99,-4.37
ا,74.00,77.00,84.00,77.00,78.00,   7.85,-0.24,-6.46,   -9.36,9.15,-1.70
ا,75.00,82.00,84.00,76.00,78.00,   7.86,0.38,-6.24,   -9.91,-3.33,-2.66
ا,25.00,95.00,103.00,95.00,88.00,   5.62,2.48,-7.52,   -11.06,-2.15,-6.52
ا,1.00,91.00,95.00,82.00,89.00,   5.65,3.66,-6.83,   -9.16,2.02,-9.91
ا,1.00,91.00,94.00,80.00,85.00,   5.77,4.16,-7.18,   -12.57,3.38,1.41
ا,15.00,88.00,90.00,77.00,68.00,   6.56,2.89,-6.85,   -18.01,3.88,-0.93
ا,0.00,89.00,89.00,79.00,68.00,   7.39,1.97,-7.20,   -1.21,-13.40,33.18 
ا,0.00,91.00,91.00,78.00,99.00,   5.64,0.72,-6.20,   -18.85,1.47,-15.89
ا,0.00,89.00,90.00,77.00,81.00,   4.32,0.47,-8.88,   -29.16,-37.16,-11.04
ا,0.00,88.00,88.00,76.00,61.00,   4.09,1.16,-9.27,   -16.53,-4.38,0.27
ا,0.00,88.00,89.00,78.00,63.00,   3.62,0.71,-8.67,   -11.43,5.91,3.15
ا,0.00,87.00,87.00,76.00,99.00,   3.22,1.13,-9.10,   -14.34,-2.84,0.38
ا,0.00,84.00,89.00,75.00,79.00,   2.97,1.84,-9.09,   -17.15,-3.60,-1.04
ا,0.00,86.00,88.00,76.00,52.00,   3.05,1.98,-9.06,   -13.03,0.15,-0.14
ا,0.00,87.00,89.00,75.00,70.00,   3.05,1.37,-9.09,   -14.80,0.53,-0.93
ا,0.00,96.00,88.00,75.00,87.00,   3.88,1.37,-9.26,   -11.20,0.32,1.15
ا,0.00,91.00,86.00,74.00,75.00,   4.80,3.47,-7.65,   -47.67,15.06,-12.40
ا,0.00,88.00,87.00,75.00,43.00,   5.84,8.10,-1.49,   -16.10,-0.52,0.50
ا,0.00,87.00,85.00,73.00,82.00,   5.56,8.20,-0.96,   -15.02,-0.52,0.52
ا,0.00,85.00,87.00,75.00,83.00,   5.69,8.27,-0.91,   -18.18,-0.96,-0.44
ا,0.00,86.00,85.00,76.00,72.00,   5.55,8.21,-0.90,   -14.19,0.44,0.06
ا,0.00,86.00,85.00,76.00,45.00,   6.02,8.54,-0.97,   -10.37,-3.25,9.99
ا,0.00,88.00,86.00,75.00,100.00,   5.94,8.06,-1.07,   -12.19,4.52,-0.82
ا,0.00,85.00,84.00,76.00,80.00,   5.83,8.19,-0.97,   -15.61,-0.38,-0.66
ا,0.00,85.00,86.00,76.00,65.00,   5.84,8.13,-1.00,   -16.31,-3.97,0.35
ا,0.00,86.00,86.00,77.00,59.00,   6.05,7.87,-1.07,   -14.66,-3.91,2.08
ا,1.00,81.00,83.00,74.00,93.00,   6.26,8.45,-2.30,   -5.50,9.96,0.53
ا,1.00,81.00,84.00,73.00,66.00,   5.62,8.12,-1.67,   -9.73,-0.08,1.91
ا,0.00,83.00,84.00,74.00,51.00,   6.66,6.88,-2.92,   -15.12,-6.29,3.19
ا,0.00,83.00,84.00,74.00,89.00,   6.73,7.32,-2.76,   -15.89,4.31,-0.76
ا,0.00,81.00,83.00,73.00,78.00,   6.45,6.96,-2.81,   -9.01,3.64,0.64
ب,14.00,12.00,17.00,14.00,6.00,   -7.14,5.63,2.29,   -14.08,-0.12,-0.63
ب,13.00,12.00,17.00,15.00,7.00,   -7.21,5.56,2.35,   -16.01,1.45,-2.06
ب,13.00,11.00,17.00,14.00,7.00,   -6.51,6.67,1.91,   19.22,-18.80,29.42
ب,49.00,17.00,39.00,37.00,51.00,   4.86,5.83,-5.25,   7.68,-24.50,130.33
ب,88.00,1.00,116.00,101.00,97.00,   6.57,-1.26,-7.68,   -3.44,11.12,9.07
